customer_id,brand_id,snapshot_date,cohort_month,first_order_date,last_order_date,days_since_last_order,total_orders,orders_last_90d,orders_last_30d,total_revenue,avg_order_value,return_rate,acquisition_channel,acquisition_campaign,cac,ltv_12m,ltv_cac_ratio,discount_orders_share,avg_discount_pct,discount_dependency_index,top_category,price_band_preference,lifecycle_stage,active_30d,active_90d,churn_flag,email_opt_in,region,r_score,f_score,m_score
C0001,brand_b,11/1/2025,8/1/2023,8/20/2023,8/11/2024,447,4,0,0,262.38,65.6,0.025,Google Ads,Generic_Search,46.11,280.59,6.09,0.24,0.113,0.027,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,4,4
C0002,brand_a,11/1/2025,2/1/2025,2/27/2025,9/7/2025,55,1,1,0,37.14,37.14,0.299,Referral,Referral_VIP,12.3,66.23,5.38,0.365,0.138,0.05,Apparel,Mid,Active,FALSE,TRUE,FALSE,FALSE,UK,5,1,1
C0003,brand_a,11/1/2025,12/1/2023,12/12/2023,7/21/2025,103,3,0,0,381.1,127.03,0.169,Organic,SEO_Blog,6.81,509.97,74.89,0.018,0.237,0.004,Home Decor,High,At-risk,FALSE,FALSE,FALSE,TRUE,AU,4,3,5
C0004,brand_b,11/1/2025,7/1/2024,7/5/2024,9/6/2024,421,1,0,0,68.38,68.38,0.072,Meta Ads,Meta_Retargeting,28.7,61.88,2.16,0.595,0.063,0.038,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,2,1,2
C0005,brand_b,11/1/2025,3/1/2025,3/21/2025,6/19/2025,135,3,0,0,279.89,93.3,0.011,Meta Ads,Meta_Retargeting,32.99,200.07,6.06,0.315,0.116,0.036,Skincare,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,US,4,3,4
C0006,brand_a,11/1/2025,7/1/2024,7/24/2024,12/21/2024,315,1,0,0,144.59,144.59,0.02,Influencer,IG_Influencer_Spring,49.94,130.52,2.61,0.762,0.136,0.104,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,1,3
C0007,brand_c,11/1/2025,7/1/2024,7/14/2024,11/12/2024,354,2,0,0,86.82,43.41,0.019,Organic,SEO_Blog,10.21,67.59,6.62,0.367,0.121,0.044,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,2,2
C0008,brand_b,11/1/2025,6/1/2023,6/24/2023,9/29/2024,398,1,0,0,110.81,110.81,0.165,Influencer,TikTok_Creator_Summer,47.98,102.9,2.14,0.71,0.066,0.047,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,1,2
C0009,brand_b,11/1/2025,10/1/2023,10/19/2023,7/22/2024,467,2,0,0,52.71,26.36,0.103,Google Ads,Generic_Search,26.81,52.02,1.94,0.424,0.347,0.147,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,2,1
C0010,brand_a,11/1/2025,1/1/2024,1/13/2024,8/1/2024,457,5,0,0,563.94,112.79,0.105,Google Ads,Generic_Search,40.47,621.73,15.36,0.387,0.238,0.092,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,5,5
C0011,brand_a,11/1/2025,2/1/2023,2/2/2023,3/4/2024,607,3,0,0,166.29,55.43,0.106,Google Ads,Brand_Search,27.84,181.93,6.53,0.248,0.271,0.067,Accessories,Mid,Churned,FALSE,FALSE,TRUE,FALSE,UK,1,3,3
C0012,brand_b,11/1/2025,9/1/2024,9/11/2024,4/13/2025,202,4,0,0,255.16,63.79,0.055,Meta Ads,Meta_BF_Sale,20.76,204.68,9.86,0.448,0.112,0.05,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,3,4,4
C0013,brand_a,11/1/2025,12/1/2023,12/9/2023,10/12/2025,20,1,1,1,105.97,105.97,0.05,Google Ads,Generic_Search,24.44,135.07,5.53,0.401,0.219,0.088,Supplements,High,New,TRUE,TRUE,FALSE,TRUE,US,5,1,2
C0014,brand_a,11/1/2025,4/1/2025,4/9/2025,9/4/2025,58,3,3,0,369.6,123.2,0.159,Organic,SEO_Blog,5.57,559.33,100.42,0.231,0.187,0.043,Home Decor,Premium,Active,FALSE,TRUE,FALSE,FALSE,IN,5,3,5
C0015,brand_a,11/1/2025,4/1/2024,4/5/2024,12/31/2024,305,1,0,0,120.75,120.75,0.139,Organic,SEO_Blog,3.85,169.91,44.13,0.231,0.29,0.067,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,1,3
C0016,brand_b,11/1/2025,8/1/2023,8/8/2023,5/21/2025,164,4,0,0,137.18,34.3,0.089,Influencer,TikTok_Creator_Summer,66.28,113.18,1.71,0.527,0.223,0.118,Accessories,Low,At-risk,FALSE,FALSE,FALSE,TRUE,IN,3,4,3
C0017,brand_a,11/1/2025,2/1/2025,2/25/2025,6/9/2025,145,4,0,0,109.08,27.27,0.179,Influencer,TikTok_Creator_Summer,45.67,87.76,1.92,0.781,0.061,0.047,Apparel,Low,At-risk,FALSE,FALSE,FALSE,TRUE,CA,4,4,2
C0018,brand_a,11/1/2025,11/1/2024,11/12/2024,8/29/2025,64,2,2,0,58.66,29.33,0.085,Organic,Direct_Organic,7.91,69.1,8.74,0.028,0.322,0.009,Accessories,Low,Active,FALSE,TRUE,FALSE,TRUE,UK,4,2,1
C0019,brand_b,11/1/2025,1/1/2023,1/17/2023,7/25/2024,464,2,0,0,179.42,89.71,0.19,Google Ads,Generic_Search,26.68,217.59,8.16,0.294,0.332,0.098,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,IN,1,2,4
C0020,brand_b,11/1/2025,1/1/2025,1/1/2025,2/18/2025,256,1,0,0,33.68,33.68,0.065,Organic,Direct_Organic,2.05,43.5,21.22,0.07,0.242,0.017,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,CA,3,1,1
C0021,brand_b,11/1/2025,2/1/2025,2/12/2025,7/3/2025,121,3,0,0,44.48,14.83,0.086,Referral,Referral_Program,18.59,43.67,2.35,0.204,0.325,0.066,Accessories,Low,At-risk,FALSE,FALSE,FALSE,TRUE,CA,4,3,1
C0022,brand_c,11/1/2025,2/1/2025,2/25/2025,5/1/2025,184,5,0,0,850.45,170.09,0.06,Referral,Referral_Program,21.56,691.52,32.07,0.459,0.177,0.081,Supplements,High,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,3,5,5
C0023,brand_b,11/1/2025,11/1/2024,11/28/2024,5/13/2025,172,3,0,0,64.4,21.47,0.178,Referral,Referral_Program,18.47,77.44,4.19,0.313,0.277,0.087,Accessories,Low,At-risk,FALSE,FALSE,FALSE,FALSE,AU,3,3,1
C0024,brand_b,11/1/2025,8/1/2023,8/3/2023,10/25/2024,372,2,0,0,58.55,29.28,0.163,Meta Ads,Meta_BF_Sale,28.86,50.36,1.74,0.256,0.237,0.06,Apparel,Low,Churned,FALSE,FALSE,TRUE,FALSE,US,2,2,1
C0025,brand_b,11/1/2025,3/1/2025,3/23/2025,9/5/2025,57,2,1,0,162.61,81.31,0.314,Organic,SEO_Landing,1.06,195.6,184.53,0.014,0.285,0.004,Apparel,High,Active,FALSE,TRUE,FALSE,TRUE,US,5,2,3
C0026,brand_a,11/1/2025,2/1/2023,2/11/2023,1/11/2025,294,1,0,0,26.3,26.3,0.145,Meta Ads,Meta_Prospecting,22.34,27.52,1.23,0.255,0.296,0.075,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,UK,2,1,1
C0027,brand_a,11/1/2025,10/1/2024,10/23/2024,6/25/2025,129,2,0,0,114.87,57.44,0.041,Meta Ads,Meta_Prospecting,33.65,134.04,3.98,0.52,0.346,0.18,Skincare,Mid,At-risk,FALSE,FALSE,FALSE,FALSE,IN,4,2,2
C0028,brand_a,11/1/2025,2/1/2023,2/22/2023,6/4/2025,150,3,0,0,38.91,12.97,0.189,Influencer,TikTok_Creator_Summer,48.61,43.47,0.89,0.516,0.188,0.097,Apparel,Low,At-risk,FALSE,FALSE,FALSE,TRUE,UK,3,3,1
C0029,brand_a,11/1/2025,11/1/2023,11/30/2023,9/22/2024,405,7,0,0,720.6,102.94,0.293,Organic,Direct_Organic,4.41,1102.35,249.97,0.105,0.106,0.011,Apparel,High,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,5,5
C0030,brand_b,11/1/2025,7/1/2025,7/9/2025,8/31/2025,62,2,2,0,37.13,18.57,0.176,Google Ads,Generic_Search,30.27,29.23,0.97,0.292,0.117,0.034,Apparel,Low,Active,FALSE,TRUE,FALSE,TRUE,IN,5,2,1
C0031,brand_a,11/1/2025,5/1/2023,5/25/2023,6/6/2025,148,5,0,0,217.19,43.44,0.09,Google Ads,Shopping_Campaign,33.65,236.98,7.04,0.157,0.182,0.028,Accessories,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,IN,4,5,4
C0032,brand_a,11/1/2025,5/1/2023,5/3/2023,8/29/2025,64,1,1,0,57.04,57.04,0.012,Meta Ads,Meta_Retargeting,25.16,53.56,2.13,0.397,0.203,0.081,Supplements,Mid,Active,FALSE,TRUE,FALSE,TRUE,US,4,1,1
C0033,brand_a,11/1/2025,5/1/2025,5/27/2025,8/30/2025,63,3,2,0,141.83,47.28,0.221,Meta Ads,Meta_BF_Sale,23.62,116.99,4.95,0.425,0.326,0.139,Apparel,Mid,Active,FALSE,TRUE,FALSE,TRUE,IN,5,3,3
C0034,brand_b,11/1/2025,7/1/2025,7/19/2025,9/6/2025,56,3,1,0,193.54,64.51,0.082,Influencer,TikTok_Creator_Summer,54.04,144.81,2.68,0.566,0.312,0.177,Home Decor,Mid,Active,FALSE,TRUE,FALSE,TRUE,EU_Other,5,3,4
