customer_id,cohort_month,first_order_date,last_order_date,days_since_last_order,total_orders,orders_last_90d,orders_last_30d,total_revenue,avg_order_value,return_rate,acquisition_channel,acquisition_campaign,cac,ltv_12m,ltv_cac_ratio,discount_orders_share,avg_discount_pct,discount_dependency_index,top_category,price_band_preference,lifecycle_stage,active_30d,active_90d,churn_flag,email_opt_in,region,r_score,f_score,m_score
C0001,5/1/2025,5/10/2025,9/22/2025,40,3,3,0,342.11,114.04,0.054,Referral,Referral_VIP,14.75,347.19,23.54,0.011,0.164,0.002,Supplements,High,Active,FALSE,TRUE,FALSE,TRUE,UK,5,3,5
C0002,5/1/2023,5/2/2023,11/17/2023,715,1,0,0,49.6,49.6,0.064,Meta Ads,Meta_BF_Sale,18.99,41.28,2.17,0.242,0.209,0.051,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,1,1
C0003,4/1/2024,4/11/2024,1/9/2025,296,2,0,0,80.73,40.36,0.08,Organic,SEO_Landing,10.2,94.37,9.25,0.119,0.234,0.028,Supplements,Mid,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,3,2,2
C0004,11/1/2023,11/27/2023,8/1/2024,457,6,0,0,180.77,30.13,0.052,Google Ads,Generic_Search,21.8,176.37,8.09,0.422,0.14,0.059,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,5,4
C0005,3/1/2023,3/29/2023,11/5/2023,727,1,0,0,65.41,65.41,0.061,Referral,Referral_Program,5.46,74.34,13.62,0.385,0.211,0.081,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,1,2
C0006,5/1/2025,5/21/2025,8/20/2025,73,2,2,0,239.6,119.8,0.061,Influencer,IG_Influencer_Spring,40.31,121.67,3.02,0.709,0.254,0.18,Skincare,High,Active,FALSE,TRUE,FALSE,FALSE,US,4,2,4
C0007,5/1/2023,5/11/2023,4/12/2024,568,2,0,0,100.44,50.22,0.106,Influencer,IG_Influencer_Spring,48.5,81.04,1.67,0.733,0.203,0.149,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,2,2,2
C0008,2/1/2025,2/8/2025,10/20/2025,12,2,1,1,384.32,192.16,0.067,Google Ads,Generic_Search,41.71,302.4,7.25,0.272,0.066,0.018,Home Decor,Premium,Active,TRUE,TRUE,FALSE,TRUE,EU_Other,5,2,5
C0009,12/1/2023,12/10/2023,6/6/2024,513,3,0,0,152.46,50.82,0.182,Google Ads,Shopping_Campaign,38.18,139.78,3.66,0.109,0.157,0.017,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,3,3
C0010,3/1/2025,3/16/2025,6/25/2025,129,7,0,0,182.92,26.13,0.171,Meta Ads,Meta_BF_Sale,29.85,217.18,7.28,0.333,0.166,0.055,Apparel,Low,At-risk,FALSE,FALSE,FALSE,FALSE,UK,4,5,4
